,Date,Open,High,Low,Close,Adj Close,Volume
137,2020-07-20,7.01,7.06,6.86,6.87,6.84731,49065600
138,2020-07-21,6.94,7.15,6.9,7.04,7.016749,69875700
139,2020-07-22,6.99,7.09,6.9,7.06,7.036683,65508300
140,2020-07-23,7.06,7.12,6.97,7.04,7.016749,68628500
141,2020-07-24,7.02,7.11,6.82,6.86,6.837344,65449500
142,2020-07-27,6.84,6.85,6.69,6.71,6.687839,70704000
143,2020-07-28,6.7,6.96,6.69,6.89,6.867244,76033600
144,2020-07-29,6.99,7.0,6.52,6.59,6.568235,148442400
145,2020-07-30,6.5,6.51,6.26,6.26,6.239325,127526900
146,2020-07-31,6.25,6.29,6.0,6.07,6.049953,142595300
147,2020-08-03,6.14,6.19,6.02,6.11,6.08982,89769500
148,2020-08-04,6.1,6.2,6.1,6.14,6.11972,71041800
149,2020-08-05,6.17,6.4,6.14,6.4,6.378862,106097200
150,2020-08-06,6.33,6.42,6.28,6.33,6.309093,69915700
151,2020-08-07,6.29,6.46,6.25,6.4,6.378862,83064900
152,2020-08-10,6.43,6.7,6.38,6.67,6.647971,94345000
153,2020-08-11,6.87,7.0,6.69,6.73,6.707773,93141500
154,2020-08-12,6.87,6.88,6.58,6.72,6.697805,70143200
155,2020-08-13,6.59,6.76,6.59,6.6,6.578202,53428500
156,2020-08-14,6.54,6.72,6.47,6.66,6.638003,50397200
157,2020-08-17,6.67,6.69,6.45,6.47,6.448631,59029400
158,2020-08-18,6.49,6.57,6.41,6.44,6.418731,42686000
159,2020-08-19,6.47,6.57,6.35,6.38,6.358929,54362000
160,2020-08-20,6.33,6.38,6.21,6.27,6.249291,63764000
161,2020-08-21,6.25,6.38,6.23,6.31,6.28916,59851500
162,2020-08-24,6.35,6.64,6.3,6.63,6.608103,102785400
163,2020-08-25,6.65,6.7,6.48,6.59,6.568235,69449100
164,2020-08-26,6.62,6.62,6.44,6.48,6.458599,57304000
165,2020-08-27,6.52,6.63,6.45,6.48,6.458599,73387900
166,2020-08-28,6.51,6.62,6.47,6.61,6.588169,59161700
167,2020-08-31,6.51,6.69,6.26,6.34,6.319061,141873000
168,2020-09-01,6.27,6.4,6.15,6.19,6.169556,93181600
169,2020-09-02,6.2,6.45,6.17,6.44,6.418731,83816600
170,2020-09-03,6.39,6.65,6.28,6.32,6.299127,94124900
171,2020-09-04,6.43,6.56,6.26,6.42,6.398797,89675900
172,2020-09-08,6.32,6.36,6.13,6.14,6.11972,120646000
173,2020-09-09,6.2,6.2,6.02,6.16,6.139655,109044300
174,2020-09-10,6.17,6.2,6.0,6.0,5.980184,97324800
175,2020-09-11,6.04,6.05,5.93,5.95,5.930348,71918600
176,2020-09-14,5.99,6.16,5.96,6.15,6.129688,74002100
177,2020-09-15,6.17,6.22,6.02,6.1,6.079853,86350800
178,2020-09-16,6.1,6.81,6.05,6.75,6.727706,255986500
179,2020-09-17,6.81,7.18,6.67,7.05,7.026716,261040300
180,2020-09-18,6.92,7.14,6.87,6.88,6.857277,145280800
181,2020-09-21,6.63,6.65,6.23,6.35,6.329028,162739600
182,2020-09-22,6.4,6.58,6.21,6.25,6.229358,140901000
183,2020-09-23,6.28,6.42,6.1,6.11,6.08982,88644700
184,2020-09-24,6.1,6.18,6.0,6.06,6.039985,95469800
185,2020-09-25,6.06,6.17,6.02,6.11,6.099886,79778700
186,2020-09-28,6.23,6.31,6.18,6.2,6.189737,83292800
